,Date,Current Value,Change,% Change,Market Status
0,2020-06-14 01:02:30,1412.92,11.02,0.79,Close
1,2020-06-14 01:02:37,1412.92,11.02,0.79,Close
2,2020-06-14 01:02:44,1412.92,11.02,0.79,Close
3,2020-06-14 01:02:51,1412.92,11.02,0.79,Close
